"","Site.Id.AF","Name","Site_Id.NEON","Principal.Investigator","Data.Availability","Vegetation.Abbreviation..IGBP.","Vegetation.Description..IGBP.","Climate.Class.Abbreviation..Koeppen.","Climate.Class.Description..Koeppen.","Mean.Average.Precipitation..mm.","Mean.Average.Tempurature..degrees.C.","Country","Latitude..degrees.","Longitude..degrees.","Elevation..m.","Years.of.Data","check","Threshold","Threshold.mean.x","Threshold.final","Threshold.mean.y"
"1","US-xAB","NEON Abby Road ","ABBY","Cove Sturtevant (csturtevant@battelleecology.org)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Csb","Mediterranean: mild with dry, warm summer",2450.59,10,"USA",45.76243,-122.33033,363,"",TRUE,0.211162392857143,0.237720060416667,0.211162392857143,0.237720060416667
"2","US-xBA","NEON Barrow Environmental Observatory ","BARR","Cove Sturtevant (csturtevant@battelleecology.org)",NA,"WET","Permanent Wetlands: Lands with a permanent mixture of water and herbaceous or woody vegetation that cover extensive areas. The vegetation can be present in either salt, brackish, or fresh water","ET","Tundra",110,-12,"USA",71.28241,-156.61936,6,"",TRUE,0.140145619047619,0.117762239285714,0.140145619047619,0.117762239285714
"3","US-xBR","NEON Bartlett Experimental Forest ","BART","Cove Sturtevant (csturtevant@battelleecology.org)",NA,"DBF","Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.","Dfb","Warm Summer Continental: significant precipitation in all seasons ",1246,5.6,"USA",44.06388,-71.28731,232,"2016, 2017",TRUE,0.248598404761905,0.292731788809524,0.248598404761905,0.292731788809524
"4","US-xBL","NEON Blandy Experimental Farm ","BLAN","Stefan Metzger (neon-ameriflux@battelleecology.org)",NA,"DBF","Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.","Cfa","Humid Subtropical: mild with no dry season, hot summer",982.55,12.1,"USA",39.06026,-78.07164,183,"",TRUE,0.129106388095238,0.292731788809524,0.129106388095238,0.292731788809524
"5","US-xBN","NEON Caribou Creek - Poker Flats Watershed ","BONA","Stefan Metzger (neon-ameriflux@battelleecology.org)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dwc","Subarctic: severe, dry winter, cool summer ",275,-2,"USA",65.15401,-147.50258,263,"",TRUE,0.0701872166666667,0.237720060416667,0.0701872166666667,0.237720060416667
"6","US-xCL","NEON LBJ National Grassland ","CLBJ","David Durden (ddurden@battelleecology.org)",NA,"GRA","Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","Cfa","Humid Subtropical: mild with no dry season, hot summer",925.61,17.5,"USA",33.40123,-97.57,259,"",TRUE,0.163878173809524,0.187872918452381,0.163878173809524,0.187872918452381
"7","US-xCP","NEON Central Plains Experimental Range ","CPER","Cove Sturtevant (csturtevant@battelleecology.org)",NA,"GRA","Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","Bsk","Steppe: warm winter",320,8.6,"USA",40.8155,-104.7456,1654,"",TRUE,0.164738035714286,0.187872918452381,0.164738035714286,0.187872918452381
"8","US-xDC","NEON Dakota Coteau Field School ","DCFS","Stefan Metzger (neon-ameriflux@battelleecology.org)",NA,"GRA","Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","Dfb","Warm Summer Continental: significant precipitation in all seasons ",489.74,4.9,"USA",47.16165,-99.10656,559,"",TRUE,0.235314928571429,0.187872918452381,0.235314928571429,0.187872918452381
"9","US-xDJ","NEON Delta Junction ","DEJU","David Durden (ddurden@battelleecology.org)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfc","Subarctic: severe winter, no dry season, cool summer",300,-2,"USA",63.88112,-145.75136,529,"",TRUE,0.188429683333333,0.237720060416667,0.188429683333333,0.237720060416667
"10","US-xDL","NEON Dead Lake ","DELA","David Durden (ddurden@battelleecology.org)",NA,"MF","Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.","Cfa","Humid Subtropical: mild with no dry season, hot summer",1372,17.6,"USA",32.54172,-87.80389,22,"",TRUE,0.12637535,0.185896686904762,0.12637535,0.185896686904762
"11","US-xDS","NEON Disney Wilderness Preserve ","DSNY","Stefan Metzger (neon-ameriflux@battelleecology.org)",NA,"CVM","Cropland/Natural Vegetation Mosaics: Lands with a mosaic of croplands, forest, shrublands, and grasslands in which no one component comprises more than 60% of the landscape","Cfa","Humid Subtropical: mild with no dry season, hot summer",1216.09,22.5,"USA",28.12504,-81.4362,15,"",TRUE,0.136591230952381,0.136591230952381,0.136591230952381,0.136591230952381
"12","US-xYE","NEON Yellowstone Northern Range ","YELL","David Durden (ddurden@battelleecology.org)",NA,"ENF","Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.","Dfc","Subarctic: severe winter, no dry season, cool summer",493.44,3.4,"USA",44.95348,-110.53914,2116,"",TRUE,0.285031547619048,0.237720060416667,0.285031547619048,0.237720060416667
